Date,Price,Pid,Property_name,Area,Address,Neighboorhood
1/2/2021,2500000,E9857,Land for sale Eleranigbe Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki,Eleranigbe Eleranigbe Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki
1/2/2021,30000000,"17,H2630",667.0 square meter Land for sale opebi street Opebi Ikeja Lagos,Opebi,Opebi street opebi street Opebi Ikeja Lagos,Ikeja
1/2/2021,3500000000,"10,18,H4485",3 bedroom House for sale Victoria Island Extension Victoria Island Lagos,VI,VI Lagos VI Extension VI Lagos,VI
1/2/2021,340000000,H4413,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki,off afrika lane Lekki Phase 1 Lekki Lagos,Lekki
1/2/2021,28000000,G8554,3 bedroom Flat / Apartment for sale Igando Ikotun/Igando Lagos,Igando Ikotun,NEAR IGANDO B/STOP Igando Ikotun Igando Lagos,Igando
1/2/2021,13000000,G5150,Land for sale Bucknor Isolo Lagos,Isolo,Tijani Salako off Bode Shodiya street Bucknor Isolo Lagos,Isolo
1/2/2021,12000000,G4891,1 bedroom mini flat Flat / Apartment for sale Ijegun Ikotun/Igando Lagos,Igando Ikotun,"Fatade street, off Isheri/ Ijegun Rd, Kuduyeibu estate Ijegun Ikotun Igando Lagos",Igando
1/2/2021,10000000,G4886,3 bedroom Bungalow for sale Abaranje Ikotun/Igando Lagos,Igando Ikotun,"Shodimu street by K& S B/stop, Abaranje Abaranje Ikotun Igando Lagos",Igando
1/2/2021,450000000,H2245,6 bedroom House for sale Banana Island Ikoyi Lagos,Ikoyi,Banana island Banana Island Ikoyi Lagos,Ikoyi
1/2/2021,30000000,H0634,3 bedroom Flat / Apartment for sale Oral Estate Ikota Lekki Lagos,Lekki,Oral Estate Oral Estate Ikota Lekki Lagos,Lekki
1/2/2021,7000000,H0652,Land for sale Ajah Sangotedo Ajah Lagos,Ajah,Ajah Ajah Sangotedo Ajah Lagos,Ajah
1/2/2021,180000000,H3290,5 bedroom House for sale Lekki Phase 1 Lekki Lagos,Lekki,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Lekki
1/2/2021,160000000,H4181,6 bedroom House for sale Pinnock Beach estate Jakande Lekki Lagos,Lekki,Jakande Pinnock Beach estate Jakande Lekki Lagos,Lekki
1/2/2021,20000000,"20,H5794",3 bedroom Bungalow for sale opic Isheri North Ojodu Lagos,Ojodu,opic estate isheri lagos opic Isheri North Ojodu Lagos,Ojo
